Zona;Nil;Tipologia esercizio;Insegna;Indirizzo;Categoria (stelle);Numero camere;Numero posti letto
9;11;Residence;Casa Albergo Residence Zara Lagosta;Vle Zara, 1;4;32;64
9;11;Residence;Mirage Tre;Via Lepontina, 8;3;60;82
9;11;Residence;R.T.A. Cola Montano;Via Cola Montano, 29;2;21;21
9;11;Albergo;Albergo Lario;Via Lario, 40;1;7;17
9;12;Residence;Contessa Jolanda- Attività Promiscua 133 Appartamenti (266 Posti Letto) E 9 Camere Albergo Per 18 Posti Letto Per Un Totale Di 284 Posti Letto;Via Murat Gioacchino, 21;4;133;266
9;12;Albergo;Hotel Gala;Vle Zara, 89;3;22;35
9;13;Albergo;Hotel Greco;Via Ugolini, 21;2;8;20
9;14;Albergo;Novotel Milano Nord;Vle Suzzani Giovanni, 13;4;172;344
9;14;Residence;Residence Hotel Siloe;Via Cesari Antonio, 19;4;83;193
9;14;Albergo;Centro Alberghiero Ornato;Via Ornato Luigi, 64;3;144;252
9;14;Albergo;Hotel Ibis Milano Ca  Granda;Vle Suzzani Giovanni, 13/15;3;131;262
9;14;Albergo;Albergo Sicilia;Via Benefattori Dell'Ospedale, 24;1;10;19
9;15;Albergo;Starhotels Tourist;Vle Testi Fulvio, 300;4;140;250
9;77;Albergo;Sunflower Hotel;Ple Lugano, 10;4;75;131
9;77;Albergo;Hotel Valganna;Via Vare' Giovanni Battista, 32;3;36;72
9;77;Albergo;Hotel Bovisa;Via Broglio Emilio, 28;2;7;9
9;78;Albergo;Hotel Ares;Via Porro Edoardo, 8;3;13;21
9;79;Albergo;Hotel Milton Milano;Via Butti Enrico, 9;4;110;308
9;79;Albergo;Hotel Brivio;Via Brivio Cesare, 33;2;12;21
9;80;Residence;Acca Palace;Via Nicotera Giovanni, 9;4;41;82
9;80;Albergo;Hotel La Residenza;Via Scialoia Vittorio, 3;3;60;100
9;80;Albergo;Hotel Salus;Via Rossi Pellegrino, 59;1;21;36
9;83;Albergo;Leonardo Da Vinci;Via Senigallia, 6;4;298;864
9;83;Residence;Il Leonardo Da Vinci;Via Senigallia, 6;4;423;922
