date,team_a,team_b,result
15/06/06,Inghilterra,Trinidad Tobago,2-0
15/06/06,Svezia,Paraguay,1-0
16/06/06,Argentina,Serbia Montenegro,6-0
16/06/06,Olanda,Costa dAvorio,2-1
16/06/06,Messico,Angola,0-0
17/06/06,Portogallo,Iran,2-0
17/06/06,Repubblica Ceca,Ghana,0-2
17/06/06,Italia,USA,1-1
18/06/06,Giappone,Croazia,0-0
18/06/06,Brasile,Australia,2-0
18/06/06,Francia,Corea del Sud,1-1
19/06/06,Togo,Svizzera,0-2
19/06/06,Arabia Saudita,Ucraina,0-4
19/06/06,Spagna,Tunisia,3-1
20/06/06,Costarica,Polonia,1-2
20/06/06,Ecuador,Germania,0-3
20/06/06,Paraguay,Trinidad Tobago,2-0
20/06/06,Svezia,Inghilterra,2-2
21/06/06,Iran,Angola,1-1
21/06/06,Portogallo,Messico,2-1
21/06/06,Costa dAvorio,Serbia Montenegro,3-2
21/06/06,Olanda,Argentina,0-0
22/06/06,Ghana,USA,2-1
22/06/06,Repubblica Ceca,Italia,0-2
22/06/06,Giappone,Brasile,1-4
22/06/06,Croazia,Australia,2-2
23/06/06,Ucraina,Tunisia,1-0
23/06/06,Arabia Saudita,Spagna,0-1
23/06/06,Togo,Francia,0-2
23/06/06,Svizzera,Corea del Sud,2-0
24/06/06,Germania,Svezia,2-0
24/06/06,Argentina,Messico,2-1
25/06/06,Inghilterra,Ecuador,1-0
25/06/06,Portogallo,Olanda,1-0
26/06/06,Italia,Australia,1-0
26/06/06,Svizzera,Ucraina,0-3
27/06/06,Brasile,Ghana,3-0
27/06/06,Spagna,Francia,1-3
30/06/06,Germania,Argentina,5-1
30/06/06,Italia,Ucraina,3-0
1/7/06,Inghilterra,Portogallo,0-3
1/7/06,Brasile,Francia,0-1
4/7/06,Germania,Italia,0-2
5/7/06,Portogallo,Francia,0-1
8/7/06,Germania,Portogallo,3-1
9/7/06,Italia,Francia,6-4
11/6/10,Sudafrica,Messico,1-1
11/6/10,Uruguai,Francia,0-0
12/6/10,Corea del Sud,Grecia,2-0
12/6/10,Argentina,Nigeria,1-0
12/6/10,Inghilterra,USA,1-1
13/06/10,Algeria,Slovenia,0-1
13/06/10,Serbia,Ghana,0-1
13/06/10,Germania,Australia,4-0
14/06/10,Olanda,Danimarca,2-0
14/06/10,Giappone,Camerun,1-0
14/06/10,Italia,Paraguay,1-1
15/06/10,Nuova Zelanda,Slovacchia,1-1
15/06/10,Costa dAvorio,Portogallo,0-0
15/06/10,Brasile,Corea del Nord,2-1
16/06/10,Honduras,Cile,0-1
16/06/10,Spagna,Svizzera,0-1
16/06/10,Sudafrica,Uruguai,0-3
17/06/10,Argentina,Corea del Sud,4-1
17/06/10,Grecia,Nigeria,2-1
17/06/10,Francia,Messico,0-2
18/06/10,Germania,Serbia,0-1
18/06/10,Slovenia,USA,2-2
18/06/10,Inghilterra,Algeria,0-0
19/06/10,Olanda,Giappone,1-0
19/06/10,Ghana,Australia,1-1
19/06/10,Camerun,Danimarca,1-2
20/06/10,Slovacchia,Paraguay,0-2
20/06/10,Italia,Nuova Zelanda,1-1
20/06/10,Brasile,Costa dAvorio,3-1
21/06/10,Portogallo,Corea del Nord,7-0
21/06/10,Cile,Svizzera,1-0
21/06/10,Spagna,Honduras,2-0
22/06/10,Messico,Uruguai,0-1
22/06/10,Francia,Sudafrica,1-2
22/06/10,Nigeria,Corea del Sud,2-2
22/06/10,Grecia,Argentina,0-2
23/06/10,Slovenia,Inghilterra,0-1
23/06/10,USA,Algeria,1-0
23/06/10,Ghana,Germania,0-1
23/06/10,Australia,Serbia,2-1
24/06/10,Slovacchia,Italia,3-2
24/06/10,Paraguay,Nuova Zelanda,0-0
24/06/10,Danimarca,Giappone,1-3
24/06/10,Camerun,Olanda,1-2
25/06/10,Portogallo,Brasile,0-0
25/06/10,Corea del Nord,Costa dAvorio,0-3
25/06/10,Cile,Spagna,1-2
25/06/10,Svizzera,Honduras,0-0
26/06/10,Uruguai,Corea del Sud,2-1
26/06/10,USA,Ghana,1-2
27/06/10,Germania,Inghilterra,4-1
27/06/10,Argentina,Messico,3-1
28/06/10,Olanda,Slovacchia,2-1
28/06/10,Brasile,Cile,3-0
29/06/10,Paraguay,Giappone,5-3
29/06/10,Spagna,Portogallo,1-0
2/7/10,Olanda,Brasile,2-1
2/7/10,Uruguai,Ghana,5-3
3/7/10,Argentina,Germania,0-4
3/7/10,Paraguay,Spagna,0-1
6/7/10,Uruguai,Olanda,2-3
7/7/10,Germania,Spagna,0-1
10/7/10,Uruguai,Germania,2-3
11/7/10,Olanda,Spagna,0-1
12/7/14,Brasile,Croazia,3-1
13/6/14,Messico,Camerun,1-0
13/6/14,Spagna,Olanda,1-5
14/6/14,Cile,Austria,3-1
14/6/14,Colombia,Grecia,3-0
14/6/14,Uruguai,Costarica,1-3
15/6/14,Inghilterra,Italia,1-2
15/6/14,Costa dAvorio,Giappone,2-1
15/6/14,Svizzera,Ecuador,2-1
15/6/14,Francia,Honduras,3-1
16/6/14,Argentina,Bosnia-Erzegovina,2-1
16/6/14,Germania,Portogallo,4-0
16/6/14,Iran,Nigeria,0-0
17/6/14,Ghana,USA,1-2
17/6/14,Belgio,Algeria,2-1
17/6/14,Brasile,Messico,0-0
18/6/14,Russia,Corea del Sud,1-1
18/6/14,Australia,Olanda,2-3
18/6/14,Spagna,Cile,0-2
19/6/14,Camerun,Croazia,0-4
19/6/14,Colombia,Costa dAvorio,2-1
19/6/14,Uruguai,Inghilterra,2-1
20/6/14,Giappone,Grecia,0-0
21/6/14,Germania,Ghana,2-2
21/6/14,Nigeria,Bosnia-Erzegovina,1-0
