date,team_a,team_b,result
3/6/62,Ungheria,Bulgaria,6-1
6/6/62,Unione Sovietica,Uruguai,2-1
6/6/62,Germania,Cile,2-0
6/6/62,Brasile,Spagna,2-1
6/6/62,Ungheria,Argentina,0-0
7/6/62,Yugoslavia,Colombia,5-0
7/6/62,Italia,Svizzera,3-0
7/6/62,Messico,Cecoslovacchia,3-1
7/6/62,Inghilterra,Bulgaria,0-0
10/6/62,Yugoslavia,Germania,1-0
10/6/62,Brasile,Inghilterra,3-1
10/6/62,Cecoslovacchia,Ungheria,1-0
10/6/62,Cile,Unione Sovietica,2-1
13/06/62,Cecoslovacchia,Yugoslavia,3-1
13/06/62,Brasile,Cile,4-2
16/06/62,Cile,Yugoslavia,1-0
17/06/62,Brasile,Cecoslovacchia,3-1
11/7/66,Inghilterra,Uruguai,0-0
12/7/66,Germania,Svizzera,5-0
12/7/66,Brasile,Bulgaria,2-0
12/7/66,Unione Sovietica,Corea del Nord,3-0
13/07/66,Francia,Messico,1-1
13/07/66,Argentina,Spagna,2-1
13/07/66,Portogallo,Ungheria,3-1
13/07/66,Italia,Cile,2-0
15/07/66,Uruguai,Francia,2-1
15/07/66,Spagna,Svizzera,2-1
15/07/66,Ungheria,Brasile,3-1
15/07/66,Corea del Nord,Cile,1-1
16/07/66,Inghilterra,Messico,2-0
16/07/66,Germania,Argentina,0-0
16/07/66,Portogallo,Bulgaria,3-0
16/07/66,Unione Sovietica,Italia,1-0
19/07/66,Uruguai,Messico,0-0
19/07/66,Argentina,Svizzera,2-0
19/07/66,Portogallo,Brasile,3-1
19/07/66,Corea del Nord,Italia,1-0
20/07/66,Inghilterra,Francia,2-0
20/07/66,Germania,Spagna,2-1
20/07/66,Ungheria,Bulgaria,3-1
20/07/66,Unione Sovietica,Cile,2-1
23/07/66,Inghilterra,Argentina,1-0
23/07/66,Unione Sovietica,Ungheria,2-1
23/07/66,Germania,Uruguai,4-0
23/07/66,Portogallo,Corea del Nord,5-3
25/07/66,Germania,Unione Sovietica,2-1
26/07/66,Inghilterra,Portogallo,2-1
28/07/66,Portogallo,Unione Sovietica,2-1
30/07/66,Inghilterra,Germania,4-2
31/05/70,Messico,Unione Sovietica,0-0
2/6/70,Uruguai,Israele,2-0
2/6/70,Inghilterra,Romania,1-0
2/6/70,Per,Bulgaria,3-2
3/6/70,Belgio,El Salvador,3-0
3/6/70,Italia,Svezia,1-0
3/6/70,Brasile,Cecoslovacchia,4-1
3/6/70,Germania,Marocco,2-1
6/6/70,Unione Sovietica,Belgio,4-1
6/6/70,Uruguai,Italia,0-0
6/6/70,Romania,Cecoslovacchia,2-1
6/6/70,Per,Marocco,3-0
7/6/70,Messico,El Salvador,4-0
7/6/70,Svezia,Israele,1-1
7/6/70,Brasile,Inghilterra,1-0
7/6/70,Germania,Bulgaria,5-2
10/6/70,Unione Sovietica,El Salvador,2-0
10/6/70,Svezia,Uruguai,1-0
