Pos.	Giocatore	eta	Pres.	Gol	Nazionale
A	Eduardo	31	62	29	Croazia
A	Mario Mandžukić	28	48	13	Croazia
A	Nikica Jelavić	28	32	5	Croazia
A	Ante Rebić	20	3	1	Croazia
P	Eiji Kawashima	31	54	0	Giappone
P	Shūsaku Nishikawa	27	12	0	Giappone
P	Shuichi Gonda	25	2	0	Giappone
D	Yūichi Komano	32	78	1	Giappone
D	Yasuyuki Konno	31	78	1	Giappone
D	Yūto Nagatomo	27	67	3	Giappone
D	Maya Yoshida	25	38	2	Giappone
D	Masahiko Inoha	28	20	1	Giappone
D	Hiroki Sakai	24	15	0	Giappone
D	Gotoku Sakai	23	12	0	Giappone
D	Masato Morishige	27	7	1	Giappone
C	Yasuhito Endō	34	141	12	Giappone
C	Shinji Kagawa	25	54	17	Giappone
C	Keisuke Honda	27	53	20	Giappone
C	Hajime Hosogai	27	26	1	Giappone
C	Hiroshi Kiyotake	24	24	1	Giappone
C	Hotaru Yamaguchi	23	9	0	Giappone
C	Manabu Saito	24	4	1	Giappone
C	Toshihiro Aoyama	28	4	0	Giappone
A	Shinji Okazaki	28	73	38	Giappone
A	Yūya Ōsako	24	7	3	Giappone
A	Masato Kudo	24	4	2	Giappone
A	Yōhei Toyoda	29	4	0	Giappone
